Time,Nodes,Symptomatic
7,18,421.082
7,19,726.742
7,20,68.6478
7,21,435.269
7,22,55.9882
7,23,367.104
7,24,83.5648
7,25,108.767
7,26,513.938
7,27,196.863
7,28,93.2848
7,29,191.542
7,30,303.294
7,31,405.85
7,32,172.921
7,33,551.535
7,34,420.196
7,35,435.565
7,36,336.454
7,37,691.111
7,38,497.044
7,39,141.292
7,40,604.054
7,41,836.978
7,42,433.951
7,43,772.086
7,44,296.846
7,45,493.234
7,46,368.111
7,47,371.887
8,1,316.532
8,2,18.7365
8,3,418.062
8,4,317.214
8,5,306.039
8,6,242.776
8,7,150.227
8,8,448.452
8,9,220.423
8,10,196.006
8,11,452.978
8,12,392.911
8,13,98.9766
8,14,373.595
8,15,135.579
8,16,581.135
8,17,627.033
8,18,358.955
8,19,619.514
8,20,58.5189
8,21,371.046
8,22,47.7274
8,23,312.94
8,24,71.2347
8,25,92.7187
8,26,438.108
8,27,167.815
8,28,79.5202
8,29,163.28
8,30,258.543
8,31,345.967
8,32,147.408
8,33,470.157
8,34,358.195
8,35,371.298
8,36,286.809
8,37,589.136
8,38,423.707
8,39,120.443
8,40,514.927
8,41,713.481
8,42,369.921
8,43,658.163
8,44,253.045
8,45,420.456
8,46,313.797
8,47,317.017
9,1,269.849
9,2,15.9733
9,3,356.394
9,4,270.43
9,5,260.903
9,6,206.969
9,7,128.07
9,8,382.314
9,9,187.913
9,10,167.097
9,11,386.171
9,12,334.958
9,13,84.3785
9,14,318.496
9,15,115.582
9,16,495.421
9,17,534.553
9,18,306.015
9,19,528.144
9,20,49.888
9,21,316.321
9,22,40.6883
9,23,266.785
9,24,60.7282
9,25,79.0441
9,26,373.492
9,27,143.063
9,28,67.7912
9,29,139.197
9,30,220.409
9,31,294.939
9,32,125.667
9,33,400.814
9,34,305.363
9,35,316.536
9,36,244.506
9,37,502.241
9,38,361.217
9,39,102.679
9,40,438.98
9,41,608.247
9,42,315.36
9,43,561.088
9,44,215.723
9,45,358.441
9,46,267.515
9,47,270.261
10,1,230.07
10,2,13.6187
10,3,303.845
10,4,230.565
10,5,222.442
10,6,176.457
10,7,109.19
10,8,325.957
10,9,160.211
10,10,142.463
10,11,329.243
10,12,285.576
10,13,71.9393
10,14,271.545
10,15,98.5429
10,16,422.383
10,17,455.749
10,18,260.905
10,19,450.286
10,20,42.5335
10,21,269.689
10,22,34.6901
10,23,227.457
10,24,51.7754
10,25,67.3918
10,26,318.431
10,27,121.972
10,28,57.7968
10,29,118.675
10,30,187.915
10,31,251.457
10,32,107.142
10,33,341.726
10,34,260.344
10,35,269.872
10,36,208.459
10,37,428.196
10,38,307.967
10,39,87.5408
10,40,374.265
10,41,518.575
10,42,268.868
10,43,478.369
10,44,183.919
10,45,305.597
10,46,228.078
10,47,230.42
11,1,196.174
11,2,11.6123
11,3,259.067
11,4,196.595
11,5,189.669
11,6,150.458
11,7,93.1022
11,8,277.935
11,9,136.605
11,10,121.473
11,11,280.735
11,12,243.496
11,13,61.3396
11,14,231.538
11,15,84.0235
11,16,360.146
11,17,388.599
11,18,222.466
11,19,383.942
11,20,36.2665
11,21,229.953
11,22,29.579
11,23,193.944
11,24,44.1465
11,25,57.4627
11,26,271.514
11,27,103.999
11,28,49.2803
11,29,101.189
11,30,160.227
11,31,214.406
11,32,91.3559
11,33,291.376
11,34,221.982
11,35,230.109
11,36,177.743
11,37,365.101
11,38,262.593
11,39,74.6417
11,40,319.121
11,41,442.165
11,42,229.251
11,43,407.883
11,44,156.819
11,45,260.568
11,46,194.473
11,47,196.471
12,1,167.291
12,2,9.90263
12,3,220.911
12,4,167.649
12,5,161.743
12,6,128.304
12,7,79.3933
12,8,237.015
12,9,116.49
12,10,103.586
12,11,239.4
12,12,207.64
12,13,52.3075
12,14,197.448
12,15,71.6513
12,16,307.113
12,17,331.379
12,18,189.712
12,19,327.41
12,20,30.9264
12,21,196.093
12,22,25.2238
12,23,165.388
12,24,37.6459
12,25,49.002
12,26,231.534
12,27,88.6844
12,28,42.0233
12,29,86.288
12,30,136.633
12,31,182.834
12,32,77.9046
12,33,248.472
12,34,189.294
12,35,196.226
12,36,151.569
12,37,311.337
12,38,223.929
12,39,63.6502
12,40,272.131
12,41,377.055
12,42,195.493
12,43,347.82
12,44,133.727
12,45,222.197
12,46,165.838
12,47,167.542
13,1,142.679
13,2,8.4458
13,3,188.397
13,4,142.983
13,5,137.947
13,6,109.425
13,7,67.7118
13,8,202.146
13,9,99.35
13,10,88.3451
13,11,204.178
13,12,177.085
13,13,44.6111
13,14,168.399
13,15,61.1087
13,16,261.923
13,17,282.622
13,18,161.801
13,19,279.238
13,20,26.376
13,21,167.241
13,22,21.5126
13,23,141.054
13,24,32.1066
13,25,41.7925
13,26,197.467
13,27,75.6345
13,28,35.8395
13,29,73.5909
13,30,116.528
13,31,155.931
13,32,66.4425
13,33,211.913
13,34,161.44
13,35,167.354
13,36,129.266
13,37,265.524
13,38,190.982
13,39,54.2841
13,40,232.091
13,41,321.573
13,42,166.727
13,43,296.64
13,44,114.049
13,45,189.501
13,46,141.437
13,47,142.891
14,1,121.707
14,2,7.20442
14,3,160.692
14,4,121.966
14,5,117.67
14,6,93.3389
14,7,57.7577
14,8,172.434
14,9,84.7446
14,10,75.3577
14,11,174.165
14,12,151.05
14,13,38.0528
14,14,143.645
14,15,52.1252
14,16,223.415
14,17,241.074
14,18,138.018
14,19,238.189
14,20,22.4985
14,21,142.655
14,22,18.3503
14,23,120.319
14,24,27.3864
14,25,35.6492
14,26,168.438
14,27,64.5144
14,28,30.5702
14,29,62.7715
14,30,99.3966
14,31,133.006
14,32,56.6756
14,33,180.761
14,34,137.705
14,35,142.751
14,36,110.261
14,37,226.486
14,38,162.908
14,39,46.3031
14,40,197.972
14,41,274.296
14,42,142.215
14,43,253.029
14,44,97.2816
14,45,161.641
14,46,120.645
14,47,121.886
15,1,103.836
15,2,6.14662
15,3,137.083
15,4,104.056
15,5,100.391
15,6,79.6314
15,7,49.2757
15,8,147.115
