Time_step,total_new_infections,Exposed,Infected,Recovered
0,13.760000,86.000000,87.000000,83.000000
1,45819.089079,286369.306742,41372.623225,2228.312099
2,39142.790942,244642.443390,77173.129630,8845.602544
3,33362.969287,208518.558046,103338.813138,18852.579731
4,28435.151126,177719.694538,121725.806324,31293.884703
5,24235.932105,151474.575659,133890.974757,45402.117594
6,20657.711167,129110.694793,141119.363886,60565.786766
7,17608.660650,110054.129061,144468.000921,76301.860186
8,15010.523367,93815.771047,144803.528416,92232.807232
9,12796.614616,79978.841353,142833.905925,108067.446717
10,10910.111458,68188.196615,139135.056847,123584.996973
11,9302.594349,58141.214684,134173.243470,138621.816078
12,7932.804388,49580.027423,128323.836231,153060.399841
13,6765.584341,42284.902133,121887.041341,166820.272746
14,5770.976286,36068.601787,115101.064312,179850.464190
15,4923.452690,30771.579314,108153.113392,192123.310764
16,4201.261213,26257.882583,101188.584594,203629.366223
17,3585.866401,22411.665004,94318.717155,214373.235435
18,3061.473944,19134.212150,87626.963472,224370.177801
19,2614.625299,16341.408121,81174.279609,233643.350393
20,2233.852255,13961.576594,75003.510322,242221.581865
21,1909.382584,11933.641153,69143.015342,250137.585836
22,1632.889231,10205.557692,63609.660611,257426.537248
23,1397.276582,8732.978637,58411.278671,264124.947744
24,1196.498356,7478.114723,53548.685943,270269.786608
25,1025.402414,6408.765088,49017.330680,275897.802716
26,879.598531,5497.490818,44808.633599,281045.010348
27,755.345713,4720.910704,40911.073289,285746.308020
28,649.456185,4059.101156,37311.060062,290035.204717
29,559.213576,3495.084852,33993.634850,293943.632332
30,482.303204,3014.395024,30943.023793,297501.826799
