Time,Nodes,Symptomatic
0,1,0.16
0,2,0
0,3,0.16
0,4,0.16
0,5,0.16
0,6,0.16
0,7,0.16
0,8,0
0,9,0
0,10,0.16
0,11,0.16
0,12,0.16
0,13,0.16
0,14,0.16
0,15,0.16
0,16,0
0,17,0.16
0,18,0
0,19,0.16
0,20,0.16
0,21,0
0,22,0.16
0,23,0.16
0,24,0.16
0,25,0.16
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0.16
0,31,0.16
0,32,0.16
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0.16
0,45,0
0,46,0.16
0,47,4.48
1,1,321.749
1,2,19.0227
1,3,405.361
1,4,321.038
1,5,310.008
1,6,243.744
1,7,150.649
1,8,457.264
1,9,221.187
1,10,197.037
1,11,459.026
1,12,390.362
1,13,99.3029
1,14,378.665
1,15,135.865
1,16,579.747
1,17,630.218
1,18,364.615
1,19,624.734
1,20,58.4281
1,21,373.052
1,22,47.7777
1,23,315.62
1,24,71.223
1,25,93.9599
1,26,441.421
1,27,167.015
1,28,78.6802
1,29,162.5
1,30,257.931
1,31,345.158
1,32,148.755
1,33,473.413
1,34,356.551
1,35,372.746
1,36,285.312
1,37,585.803
1,38,427.977
1,39,119.395
1,40,516.659
1,41,711.61
1,42,368.857
1,43,656.578
1,44,252.181
1,45,418.478
1,46,315.327
1,47,311.444
2,1,274.296
2,2,16.2171
2,3,345.576
2,4,273.689
2,5,264.286
2,6,207.795
2,7,128.431
2,8,389.823
2,9,188.565
2,10,167.977
2,11,391.326
2,12,332.788
2,13,84.657
2,14,322.817
2,15,115.827
2,16,494.242
2,17,537.27
2,18,310.84
2,19,532.594
2,20,49.8109
2,21,318.032
2,22,40.7313
2,23,269.071
2,24,60.7185
2,25,80.102
2,26,376.317
2,27,142.382
2,28,67.0761
2,29,138.534
2,30,219.89
2,31,294.252
2,32,126.815
2,33,403.591
2,34,303.964
2,35,317.771
2,36,243.232
2,37,499.405
2,38,364.856
2,39,101.786
2,40,440.459
2,41,606.657
2,42,314.456
2,43,559.742
2,44,214.988
2,45,356.758
2,46,268.82
2,47,265.515
3,1,233.86
3,2,13.8265
3,3,294.632
3,4,233.342
3,5,225.325
3,6,177.163
3,7,109.498
3,8,332.357
3,9,160.767
3,10,143.214
3,11,333.637
3,12,283.73
3,13,72.1771
3,14,275.228
3,15,98.7518
3,16,421.382
3,17,458.067
3,18,265.016
3,19,454.08
3,20,42.468
3,21,271.148
3,22,34.727
3,23,229.405
3,24,51.7676
3,25,68.2936
3,26,320.841
3,27,121.392
3,28,57.188
3,29,118.111
3,30,187.474
3,31,250.874
3,32,108.121
3,33,344.095
3,34,259.154
3,35,270.926
3,36,207.376
3,37,425.784
3,38,311.07
3,39,86.7812
3,40,375.528
3,41,517.225
3,42,268.099
3,43,477.226
3,44,183.295
3,45,304.166
3,46,229.191
3,47,226.378
4,1,199.404
4,2,11.7894
4,3,251.222
4,4,198.963
4,5,192.127
4,6,151.06
4,7,93.365
4,8,283.388
4,9,137.08
4,10,122.113
4,11,284.48
4,12,241.926
4,13,61.5428
4,14,234.677
4,15,84.2022
4,16,359.297
4,17,390.577
4,18,225.97
4,19,387.178
4,20,36.2111
4,21,231.198
4,22,29.6106
4,23,195.606
4,24,44.1403
4,25,58.2314
4,26,273.569
4,27,103.507
4,28,48.7622
4,29,100.709
4,30,159.853
4,31,213.911
4,32,92.1906
4,33,293.397
4,34,220.972
4,35,231.009
4,36,176.822
4,37,363.05
4,38,265.238
4,39,73.9954
4,40,320.199
4,41,441.019
