Time_step,total_new_infections,Exposed,Infected,Recovered
0,8.320000,52.000000,58.000000,94.000000
1,15043.444238,94021.526485,15261.829781,963.312114
2,12824.743060,80154.644126,26819.129802,3309.664244
3,10934.157785,68338.486156,35233.524134,6748.176929
4,9323.165233,58269.782709,41119.200479,10967.940170
5,7950.417646,49690.110286,44983.950131,15719.590137
6,6780.681833,42379.261455,47246.524261,20804.585305
7,5783.935032,36149.593949,48251.254637,26066.237492
8,4934.594407,30841.215043,48280.360825,31382.220685
9,4210.860467,26317.877921,47564.301731,36658.323328
10,3594.157574,22463.484836,46290.474810,41823.246066
11,3068.657179,19179.107366,44610.519954,46824.277659
12,2620.871571,16380.447317,42646.445737,51623.707879
13,2239.307698,13995.673112,40495.762332,56195.858220
14,1914.172183,11963.576147,38235.777110,60524.629968
15,1637.119966,10231.999791,35927.184881,64601.484962
16,1401.040115,8756.500716,33617.064409,68423.787755
17,1199.873312,7499.208201,31341.375545,71993.449191
18,1028.456340,6427.852123,29127.036681,75315.820954
19,882.389552,5514.934703,26993.649848,78398.798732
20,757.923957,4737.024733,24954.930263,81252.098440
21,651.864989,4074.156182,23019.888258,83886.675689
22,561.490518,3509.315740,21193.803965,86314.263559
23,484.480984,3028.006147,19479.028803,88547.007778
24,418.859856,2617.874100,17875.642400,90597.181900
25,362.942910,2268.393187,16381.989048,92476.967912
26,315.294994,1970.593713,14995.113924,94198.290185
27,274.693197,1716.832480,13711.116099,95772.692689
28,240.095458,1500.596615,12525.432564,97211.251138
29,210.613825,1316.336406,11433.065246,98524.513133
30,185.491658,1159.322866,10428.760995,99722.460618
