date,time_step,total cases,original cases,alpha cases,delta cases,omicron ba1 cases,omicron ba2 cases,omicron ba4 cases,omicron ba5 cases,omicron ba4.6 cases, omicron bf7.cases, omicron bq.1cases, omicron xbb cases, deaths,hospitalizations
2021-06-24,481,125.0,25.0,35.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,152.0
2021-06-25,482,141.0,38.0,24.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-26,483,89.0,23.0,26.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,149.0
2021-06-27,484,68.0,16.0,12.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-28,485,136.0,29.0,24.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-29,486,166.0,37.0,23.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-30,487,201.0,50.0,14.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-07-01,488,225.0,43.0,32.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,152.0
2021-07-02,489,169.0,35.0,19.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-07-03,490,105.0,20.0,15.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,152.0
2021-07-04,491,91.0,19.0,11.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-07-05,492,125.0,24.0,15.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-07-06,493,213.0,43.0,19.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-07-07,494,269.0,43.0,22.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-07-08,495,263.0,53.0,18.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,149.0
2021-07-09,496,317.0,32.0,48.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-07-10,497,330.0,43.0,16.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,157.0
2021-07-11,498,285.0,23.0,40.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-07-12,499,361.0,58.0,25.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-07-13,500,476.0,0.0,19.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-07-14,501,622.0,118.0,25.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-07-15,502,635.0,114.0,25.0,495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,183.0
2021-07-16,503,711.0,85.0,14.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-07-17,504,611.0,104.0,18.0,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,202.0
2021-07-18,505,470.0,52.0,9.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-07-19,506,750.0,90.0,22.0,638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-07-20,507,803.0,96.0,56.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-07-21,508,810.0,97.0,16.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-07-22,509,1031.0,134.0,21.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,281.0
2021-07-23,510,934.0,103.0,19.0,813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
