date,time_step,total cases,original cases,alpha cases,delta cases,omicron ba1 cases,omicron ba2 cases,omicron ba4 cases,omicron ba5 cases,omicron ba4.6 cases, omicron bf7.cases, omicron bq.1cases, omicron xbb cases, deaths,hospitalizations
2021-04-25,421,262.0,73.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2021-04-26,422,445.0,116.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2021-04-27,423,413.0,120.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2021-04-28,424,501.0,135.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2021-04-29,425,530.0,164.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,317.0
2021-04-30,426,434.0,130.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2021-05-01,427,313.0,94.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,316.0
2021-05-02,428,206.0,64.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2021-05-03,429,284.0,85.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-05-04,430,390.0,125.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2021-05-05,431,421.0,126.0,290.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2021-05-06,432,361.0,105.0,253.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,304.0
2021-05-07,433,330.0,99.0,228.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2021-05-08,434,210.0,52.0,151.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,294.0
2021-05-09,435,156.0,47.0,108.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2021-05-10,436,286.0,80.0,203.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2021-05-11,437,334.0,104.0,227.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2021-05-12,438,367.0,125.0,239.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2021-05-13,439,332.0,93.0,236.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,267.0
2021-05-14,440,300.0,96.0,201.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2021-05-15,441,185.0,57.0,122.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,266.0
2021-05-16,442,108.0,58.0,43.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2021-05-17,443,284.0,65.0,216.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2021-05-18,444,321.0,180.0,138.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-05-19,445,271.0,60.0,152.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2021-05-20,446,261.0,94.0,164.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,241.0
2021-05-21,447,283.0,91.0,190.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2021-05-22,448,132.0,48.0,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,225.0
2021-05-23,449,96.0,35.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-05-24,450,189.0,68.0,119.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
