index,RMSE,p_value
0.0,101036.55639557166,500000.0
1.0,101376.69204120032,500000.0
2.0,101303.67449666564,500000.0
3.0,101463.05561867419,500000.0
4.0,101152.22125653416,500000.0
5.0,101414.73673754462,500000.0
6.0,100980.87721616063,500000.0
7.0,101038.03802617047,500000.0
8.0,101265.70839268374,500000.0
9.0,101184.75129372813,500000.0
