date,time_step,total cases,original cases,alpha cases,delta cases,omicron ba1 cases,omicron ba2 cases,omicron ba4 cases,omicron ba5 cases,omicron ba4.6 cases, omicron bf7.cases, omicron bq.1cases, omicron xbb cases, deaths,hospitalizations
2021-05-25,451,253.0,91.0,159.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2021-05-26,452,224.0,81.0,141.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2021-05-27,453,249.0,72.0,149.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,201.0
2021-05-28,454,171.0,55.0,103.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2021-05-29,455,101.0,32.0,61.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,197.0
2021-05-30,456,99.0,32.0,59.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2021-05-31,457,135.0,43.0,81.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2021-06-01,458,162.0,89.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2021-06-02,459,228.0,98.0,114.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2021-06-03,460,307.0,95.0,184.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,197.0
2021-06-04,461,175.0,47.0,94.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2021-06-05,462,77.0,25.0,44.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,190.0
2021-06-06,463,54.0,16.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-07,464,175.0,60.0,80.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-08,465,182.0,40.0,129.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-09,466,212.0,0.0,159.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-10,467,167.0,67.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,144.0
2021-06-11,468,122.0,38.0,55.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-12,469,98.0,37.0,35.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,136.0
2021-06-13,470,65.0,27.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-14,471,158.0,54.0,68.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-15,472,167.0,33.0,80.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-16,473,146.0,60.0,41.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-17,474,192.0,84.0,81.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,143.0
2021-06-18,475,98.0,26.0,30.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-19,476,99.0,34.0,30.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,149.0
2021-06-20,477,38.0,10.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-21,478,150.0,44.0,38.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-22,479,138.0,36.0,52.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2021-06-23,480,109.0,34.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
