Time_step,total_new_infections,Exposed,Infected,Recovered
0,10.400000,65.000000,64.000000,51.000000
1,15082.377895,94264.861841,15082.928133,898.386934
2,12857.926528,80362.040802,26692.892889,3228.064947
3,10962.438395,68515.239966,35149.438312,6655.100539
4,9347.266248,58420.414051,41068.588683,10867.531039
5,7970.955992,49818.474952,44959.671753,15615.125032
6,6798.183549,42488.647180,47242.721979,20698.628126
7,5798.848567,36242.803545,48263.141205,25960.768393
8,4947.302020,30920.637628,48304.039737,31278.743654
9,4221.687970,26385.549812,47596.616545,36557.955656
10,3603.382647,22521.141547,46328.882696,41726.792607
11,3076.516476,19228.227976,44652.985695,46732.292340
12,2627.566770,16422.292314,42691.352975,51536.544514
13,2245.010666,14031.316665,40541.839364,56113.712392
14,1919.029379,11993.933616,38282.034918,60447.573432
15,1641.256190,10257.851185,35972.865475,64529.493817
16,1404.561709,8778.510683,33661.597829,68356.765426
17,1202.870891,7517.943068,31384.344140,71931.245086
18,1031.007107,6443.794421,29168.145489,75258.245539
19,884.559287,5528.495543,27032.702096,78345.635640
20,759.768697,4748.554357,24991.807154,81203.114123
21,653.432472,4083.952951,23054.532330,83841.627053
22,562.821407,3517.633797,21226.205448,86272.903932
23,485.609911,3035.061943,19509.214468,88509.091526
24,419.816313,2623.851959,17903.666480,90562.467928
25,363.752007,2273.450045,16407.925884,92445.222264
26,315.978106,1974.863160,15019.052041,94169.287921
27,275.268512,1720.428199,13733.153460,95746.219174
28,240.578450,1503.615315,12545.672808,97187.102860
29,211.017651,1318.860321,11451.614718,98502.498163
30,185.827501,1161.421883,10445.726441,99702.398773
