Time,Nodes,Symptomatic
0,1,0.16
0,2,0
0,3,0.16
0,4,0.16
0,5,0
0,6,0
0,7,0.16
0,8,0
0,9,0.16
0,10,0.16
0,11,0
0,12,0.16
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0.16
0,24,0
0,25,0.16
0,26,0.16
0,27,0.16
0,28,0.16
0,29,0
0,30,0.16
0,31,0
0,32,0.16
0,33,0.16
0,34,0
0,35,0.16
0,36,0.16
0,37,0.16
0,38,0
0,39,0.16
0,40,0
0,41,0.16
0,42,0
0,43,0.16
0,44,0.16
0,45,0.16
0,46,0
0,47,6.72
1,1,322.709
1,2,19.2194
1,3,406.176
1,4,321.627
1,5,310.592
1,6,244.125
1,7,151.211
1,8,459.005
1,9,221.61
1,10,197.78
1,11,460.897
1,12,390.886
1,13,99.462
1,14,379.365
1,15,136.121
1,16,580.783
1,17,631.708
1,18,365.11
1,19,626.056
1,20,59.0026
1,21,374.024
1,22,48.277
1,23,316.652
1,24,71.328
1,25,94.3852
1,26,443.528
1,27,167.254
1,28,79.1173
1,29,162.832
1,30,258.545
1,31,345.821
1,32,149.015
1,33,475.056
1,34,357.073
1,35,373.683
1,36,286.142
1,37,587.054
1,38,429.065
1,39,119.903
1,40,517.592
1,41,712.878
1,42,369.62
1,43,657.966
1,44,252.831
1,45,419.958
1,46,315.943
1,47,313.392
2,1,275.114
2,2,16.3848
2,3,346.271
2,4,274.192
2,5,264.784
2,6,208.12
2,7,128.91
2,8,391.307
2,9,188.925
2,10,168.61
2,11,392.92
2,12,333.235
2,13,84.7927
2,14,323.414
2,15,116.045
2,16,495.125
2,17,538.539
2,18,311.261
2,19,533.721
2,20,50.3005
2,21,318.86
2,22,41.1568
2,23,269.95
2,24,60.8081
2,25,80.4646
2,26,378.113
2,27,142.586
2,28,67.4485
2,29,138.817
2,30,220.413
2,31,294.817
2,32,127.037
2,33,404.991
2,34,304.409
2,35,318.57
2,36,243.939
2,37,500.471
2,38,365.783
2,39,102.219
2,40,441.254
2,41,607.738
2,42,315.106
2,43,560.925
2,44,215.542
2,45,358.019
2,46,269.345
2,47,267.175
3,1,234.557
3,2,13.9693
3,3,295.224
3,4,233.771
3,5,225.75
3,6,177.439
3,7,109.906
3,8,333.621
3,9,161.074
3,10,143.754
3,11,334.996
3,12,284.11
3,13,72.2928
3,14,275.737
3,15,98.9377
3,16,422.135
3,17,459.148
3,18,265.376
3,19,455.041
3,20,42.8852
3,21,271.854
3,22,35.0895
3,23,230.155
3,24,51.8439
3,25,68.6026
3,26,322.371
3,27,121.566
3,28,57.5054
3,29,118.353
3,30,187.92
3,31,251.356
3,32,108.31
3,33,345.287
3,34,259.534
3,35,271.607
3,36,207.978
3,37,426.692
3,38,311.86
3,39,87.1502
3,40,376.205
3,41,518.146
3,42,268.654
3,43,478.234
3,44,183.767
3,45,305.241
3,46,229.639
3,47,227.792
4,1,199.998
4,2,11.9111
4,3,251.727
4,4,199.328
4,5,192.489
4,6,151.296
4,7,93.7128
4,8,284.466
4,9,137.342
4,10,122.573
4,11,285.638
4,12,242.251
4,13,61.6414
4,14,235.111
4,15,84.3606
4,16,359.939
4,17,391.499
4,18,226.276
4,19,387.996
4,20,36.5666
4,21,231.8
4,22,29.9195
4,23,196.244
4,24,44.2054
4,25,58.4948
4,26,274.873
4,27,103.655
4,28,49.0327
4,29,100.915
4,30,160.233
4,31,214.322
4,32,92.3519
4,33,294.413
4,34,221.295
4,35,231.589
4,36,177.335
4,37,363.825
4,38,265.912
4,39,74.3098
4,40,320.776
4,41,441.804
