Time,Nodes,Symptomatic
0,1,0.16
0,2,0.16
0,3,0.16
0,4,0.16
0,5,0.16
0,6,0
0,7,0.16
0,8,0.16
0,9,0.16
0,10,0
0,11,0
0,12,0.16
0,13,0.16
0,14,0.16
0,15,0
0,16,0.16
0,17,0.16
0,18,0.16
0,19,0
0,20,0
0,21,0
0,22,0.16
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0.16
0,30,0
0,31,0.16
0,32,0.16
0,33,0.16
0,34,0
0,35,0.16
0,36,0
0,37,0.16
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0.16
0,45,0.16
0,46,0.16
0,47,6.56
1,1,963.48
1,2,57.1654
1,3,1218.04
1,4,962.342
1,5,929.23
1,6,730.577
1,7,452.383
1,8,1368.54
1,9,662.609
1,10,589.945
1,11,1373.22
1,12,1171.16
1,13,297.576
1,14,1135.1
1,15,407.723
1,16,1737.71
1,17,1888.77
1,18,1092.25
1,19,1872.02
1,20,176.174
1,21,1117.57
1,22,144.235
1,23,946.592
1,24,213.448
1,25,281.025
1,26,1319.67
1,27,500.101
1,28,236.728
1,29,487.423
1,30,773.793
1,31,1034.99
1,32,445.983
1,33,1416.38
1,34,1068.97
1,35,1117.45
1,36,856.236
1,37,1756.39
1,38,1282.27
1,39,359.067
1,40,1549.93
1,41,2134.25
1,42,1106.44
1,43,1968.24
1,44,755.997
1,45,1255.02
1,46,945.53
1,47,957.448
2,1,821.122
2,2,48.719
2,3,1038.07
2,4,820.152
2,5,791.933
2,6,622.631
2,7,385.541
2,8,1166.33
2,9,564.706
2,10,502.778
2,11,1170.32
2,12,998.112
2,13,253.608
2,14,967.388
2,15,347.481
2,16,1480.96
2,17,1609.7
2,18,930.869
2,19,1595.42
2,20,150.144
2,21,952.447
2,22,122.923
2,23,806.729
2,24,181.91
2,25,239.502
2,26,1124.69
2,27,426.209
2,28,201.751
2,29,415.404
2,30,659.461
2,31,882.067
2,32,380.087
2,33,1207.1
2,34,911.026
2,35,952.344
2,36,729.724
2,37,1496.87
2,38,1092.81
2,39,306.013
2,40,1320.92
2,41,1818.91
2,42,942.959
2,43,1677.43
2,44,644.295
2,45,1069.59
2,46,805.824
2,47,815.982
