date,time_step,total cases,original cases,alpha cases,delta cases,omicron ba1 cases,omicron ba2 cases,omicron ba4 cases,omicron ba5 cases,omicron ba4.6 cases, omicron bf7.cases, omicron bq.1cases, omicron xbb cases, deaths,hospitalizations
2022-02-19,721,205.0,0.0,0.0,0.0,191.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,268.0
2022-02-20,722,931.0,0.0,0.0,0.0,857.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2022-02-21,723,380.0,0.0,0.0,0.0,350.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2022-02-22,724,304.0,0.0,0.0,0.0,277.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2022-02-23,725,273.0,0.0,0.0,0.0,254.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2022-02-24,726,189.0,0.0,0.0,0.0,170.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,210.0
2022-02-25,727,143.0,0.0,0.0,0.0,127.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2022-02-26,728,68.0,0.0,0.0,0.0,57.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,197.0
2022-02-27,729,94.0,0.0,0.0,0.0,80.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2022-02-28,730,147.0,0.0,0.0,0.0,128.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2022-03-01,731,117.0,0.0,0.0,0.0,104.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,732,176.0,0.0,0.0,0.0,151.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,733,131.0,0.0,0.0,0.0,107.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0
2022-03-04,734,119.0,0.0,0.0,0.0,90.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-05,735,67.0,0.0,0.0,0.0,49.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0
2022-03-06,736,38.0,0.0,0.0,0.0,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,737,98.0,0.0,0.0,0.0,65.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-08,738,99.0,0.0,0.0,0.0,65.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,739,116.0,0.0,0.0,0.0,77.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,740,104.0,0.0,0.0,0.0,69.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,116.0
2022-03-11,741,94.0,0.0,0.0,0.0,62.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
2022-03-12,742,41.0,0.0,0.0,0.0,27.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,104.0
2022-03-13,743,42.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
2022-03-14,744,87.0,0.0,0.0,0.0,43.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
2022-03-15,745,88.0,0.0,0.0,0.0,43.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
2022-03-16,746,152.0,0.0,0.0,0.0,74.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
2022-03-17,747,81.0,0.0,0.0,0.0,40.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,90.0
2022-03-18,748,103.0,0.0,0.0,0.0,50.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
2022-03-19,749,44.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,92.0
2022-03-20,750,33.0,0.0,0.0,0.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
