Time,Nodes,Symptomatic
0,1,0
0,2,0.16
0,3,0
0,4,0.16
0,5,0
0,6,0.16
0,7,0.16
0,8,0.16
0,9,0
0,10,0
0,11,0.16
0,12,0.16
0,13,0.16
0,14,0
0,15,0
0,16,0.16
0,17,0
0,18,0.16
0,19,0.16
0,20,0.16
0,21,0.16
0,22,0.16
0,23,0
0,24,0.16
0,25,0.16
0,26,0.16
0,27,0.16
0,28,0
0,29,0
0,30,0.16
0,31,0.16
0,32,0
0,33,0.16
0,34,0
0,35,0.16
0,36,0
0,37,0.16
0,38,0
0,39,0
0,40,0.16
0,41,0
0,42,0.16
0,43,0.16
0,44,0.16
0,45,0.16
0,46,0
0,47,6.72
1,1,321.401
1,2,18.9972
1,3,405.074
1,4,320.982
1,5,309.897
1,6,243.662
1,7,150.8
1,8,456.778
1,9,220.871
1,10,196.781
1,11,458.428
1,12,390.218
1,13,99.3141
1,14,378.426
1,15,135.757
1,16,578.977
1,17,629.646
1,18,364.484
1,19,624.095
1,20,58.6323
1,21,372.776
1,22,48.0133
1,23,315.494
1,24,71.0422
1,25,93.7795
1,26,440.448
1,27,166.66
1,28,78.8838
1,29,162.496
1,30,257.866
1,31,345.013
1,32,148.645
1,33,472.717
1,34,356.271
1,35,372.542
1,36,285.291
1,37,585.136
1,38,427.574
1,39,119.705
1,40,516.594
1,41,711.209
1,42,368.806
1,43,656.126
1,44,251.769
1,45,418.297
1,46,315.202
1,47,304.37
2,1,273.999
2,2,16.1954
2,3,345.331
2,4,273.642
2,5,264.191
2,6,207.725
2,7,128.559
2,8,389.409
2,9,188.295
2,10,167.758
2,11,390.816
2,12,332.666
2,13,84.6666
2,14,322.613
2,15,115.734
2,16,493.586
2,17,536.781
2,18,310.728
2,19,532.049
2,20,49.9849
2,21,317.797
2,22,40.932
2,23,268.963
2,24,60.5645
2,25,79.9483
2,26,375.488
2,27,142.08
2,28,67.2495
2,29,138.53
2,30,219.834
2,31,294.128
2,32,126.722
2,33,402.997
2,34,303.726
2,35,317.597
2,36,243.214
2,37,498.836
2,38,364.512
2,39,102.05
2,40,440.404
2,41,606.315
2,42,314.412
2,43,559.357
2,44,214.637
2,45,356.604
2,46,268.714
2,47,259.487
3,1,233.607
3,2,13.808
3,3,294.423
3,4,233.302
3,5,225.245
3,6,177.103
3,7,109.607
3,8,332.004
3,9,160.538
3,10,143.028
3,11,333.203
3,12,283.625
3,13,72.1853
3,14,275.055
3,15,98.6733
3,16,420.823
3,17,457.651
3,18,264.921
3,19,453.616
3,20,42.6163
3,21,270.948
3,22,34.898
3,23,229.313
3,24,51.6363
3,25,68.1626
3,26,320.134
3,27,121.135
3,28,57.3357
3,29,118.108
3,30,187.427
3,31,250.769
3,32,108.041
3,33,343.588
3,34,258.952
3,35,270.778
3,36,207.36
3,37,425.299
3,38,310.777
3,39,87.0062
3,40,375.481
3,41,516.934
3,42,268.063
3,43,476.898
3,44,182.996
3,45,304.035
3,46,229.101
3,47,221.241
4,1,199.188
4,2,11.7736
4,3,251.044
4,4,198.928
