Time_step,total_new_infections,Exposed,Infected,Recovered
0,11.200000,70.000000,87.000000,88.000000
1,15025.944692,93912.154322,15364.663250,970.058381
2,12809.828293,80061.426829,26895.955742,3326.241438
3,10921.446812,68259.042573,35289.311712,6772.005712
4,9312.332898,58202.080615,41158.067895,10996.939725
5,7941.186619,49632.416370,45009.302218,15752.092327
6,6772.815653,42330.097833,47261.168671,20839.262757
7,5777.232121,36107.700758,48257.499805,26102.043440
8,4928.882944,30805.518398,48280.098487,31418.338712
9,4205.994005,26287.462534,47559.076354,36694.125454
10,3590.011301,22437.570633,46281.541956,41858.257842
11,3065.124727,19157.029542,44598.895291,46858.149160
12,2617.862291,16361.639322,42632.946154,51656.189635
13,2236.744343,13979.652143,40481.040391,56226.781302
14,1911.988925,11949.930782,38220.349875,60553.889539
15,1635.260711,10220.379445,35911.458020,64629.026737
16,1399.457065,8746.606656,33601.352307,68449.596885
17,1198.525741,7490.785882,31325.918066,72017.541170
18,1027.309546,6420.684664,29112.013109,75338.234213
19,881.413972,5508.837322,26979.190466,78419.588630
20,757.094401,4731.840007,24941.125951,81271.332417
21,651.160001,4069.750003,23006.798418,83904.429384
22,560.891820,3505.573876,21181.463065,86330.617713
23,483.973009,3024.831304,19467.451752,88562.045804
24,418.429348,2615.183422,17864.828957,90610.987975
25,362.578580,2266.116127,16371.927415,92489.625521
26,314.987235,1968.670217,14985.783678,94209.881011
27,274.433830,1715.211439,13702.490550,95783.295803
28,239.877528,1499.234547,12517.480667,97220.942417
29,210.431414,1315.196337,11425.753116,98533.364867
30,185.339738,1158.373366,10422.053115,99730.541269
