Time,Nodes,Symptomatic
0,1,0.16
0,2,0.16
0,3,0
0,4,0.16
0,5,0
0,6,0.16
0,7,0
0,8,0.16
0,9,0
0,10,0
0,11,0
0,12,0.16
0,13,0
0,14,0.16
0,15,0
0,16,0.16
0,17,0
0,18,0.16
0,19,0
0,20,0
0,21,0
0,22,0.16
0,23,0.16
0,24,0.16
0,25,0.16
0,26,0.16
0,27,0.16
0,28,0
0,29,0.16
0,30,0
0,31,0.16
0,32,0
0,33,0
0,34,0.16
0,35,0.16
0,36,0.16
0,37,0.16
0,38,0.16
0,39,0
0,40,0.16
0,41,0.16
0,42,0
0,43,0.16
0,44,0
0,45,0.16
0,46,0.16
0,47,4.32
1,1,966.195
1,2,57.2597
1,3,1244.24
1,4,966.886
1,5,933.166
1,6,737.47
1,7,456.462
1,8,1370.55
1,9,669.319
1,10,595.51
1,11,1380.33
1,12,1188.21
1,13,300.676
1,14,1139.5
1,15,411.646
1,16,1760.3
1,17,1905.47
1,18,1095.77
1,19,1885.18
1,20,177.519
1,21,1127.5
1,22,145.173
1,23,952.766
1,24,216.113
1,25,282.538
1,26,1331.53
1,27,507.525
1,28,240.448
1,29,494.207
1,30,783.59
1,31,1048.18
1,32,448.699
1,33,1428.87
1,34,1083.96
1,35,1127.99
1,36,868.198
1,37,1781.87
1,38,1290.34
1,39,364.116
1,40,1564.2
1,41,2161.55
1,42,1120.38
1,43,1993.64
1,44,765.987
1,45,1272.63
1,46,953.542
1,47,970.244
2,1,823.436
2,2,48.7994
2,3,1066.72
2,4,824.023
2,5,795.286
2,6,628.505
2,7,389.017
2,8,1168.05
2,9,570.424
2,10,507.52
2,11,1176.38
2,12,1012.72
2,13,256.25
2,14,971.133
2,15,350.823
2,16,1500.24
2,17,1623.92
2,18,933.864
2,19,1606.63
2,20,151.29
2,21,960.903
2,22,123.723
2,23,811.99
2,24,184.182
2,25,240.791
2,26,1134.79
2,27,432.57
2,28,204.948
2,29,421.202
2,30,667.817
2,31,893.318
2,32,382.401
2,33,1217.74
2,34,923.841
2,35,961.325
2,36,739.948
2,37,1518.69
2,38,1099.69
2,39,310.334
2,40,1333.08
2,41,1842.2
2,42,954.855
2,43,1699.1
2,44,652.828
2,45,1084.64
2,46,812.651
