Time_step,total_new_infections,Exposed,Infected,Recovered
0,15.200000,95.000000,84.000000,76.000000
1,15088.890893,94305.568083,15023.652863,916.770889
2,12863.479258,80396.745360,26645.486530,3240.601608
3,10967.171673,68544.822958,35111.824413,6662.978091
4,9351.300578,58445.628610,41039.030498,10871.728431
5,7974.394291,49839.964318,44936.718923,15616.446338
6,6801.113646,42506.960290,47225.165272,20697.731498
7,5801.345383,36258.408643,48249.974175,25958.190420
8,4949.429443,30933.934017,48294.426295,31274.919841
9,4223.500471,26396.877941,47589.863565,36553.237618
10,3604.926663,22530.791644,46324.416881,41721.462488
11,3077.831590,19236.447435,44650.334068,46726.574892
12,2628.686720,16429.291998,42690.126433,51530.617208
13,2245.964206,14037.276287,40541.718831,56107.713857
14,1919.841013,11999.006330,38282.759693,60441.610504
15,1641.946800,10262.167503,35974.223432,64523.647405
16,1405.149090,8782.181813,33663.417193,68351.095391
17,1203.370202,7521.063762,31386.486580,71925.794288
18,1031.431264,6446.445402,29170.500334,75253.043191
19,884.919292,5530.745575,27035.181491,78340.700077
20,760.073921,4750.462007,24994.342010,81198.455079
21,653.690895,4085.568096,23057.068941,83837.247537
22,563.039824,3518.998900,21228.702677,86268.801761
23,485.794104,3036.213149,19511.641395,88505.260573
24,419.971204,2624.820024,17906.000459,90558.899136
25,363.881781,2274.261130,16410.150923,92441.904466
26,316.086321,1975.539505,15021.157468,94166.208494
27,275.358192,1720.988699,13735.132822,95743.364562
28,240.652162,1504.076012,12547.522958,97184.458990
29,211.077571,1319.234821,11453.335078,98500.050760
30,185.875473,1161.721709,10447.318388,99700.133614
