Time,Nodes,Symptomatic
0,1,0.32
0,2,0
0,3,0.16
0,4,0.16
0,5,0.32
0,6,0.16
0,7,0.16
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0.16
0,13,0.16
0,14,0.32
0,15,0.32
0,16,0.16
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0.16
0,22,0.32
0,23,0.16
0,24,0.32
0,25,0.16
0,26,0
0,27,0.16
0,28,0.16
0,29,0
0,30,0.16
0,31,0.32
0,32,0.32
0,33,0.32
0,34,0.32
0,35,0.32
0,36,0.16
0,37,0.32
0,38,0
0,39,0.16
0,40,0
0,41,0.16
0,42,0
0,43,0
0,44,0
0,45,0.16
0,46,0.16
0,47,8.48
1,1,963.673
1,2,57.1674
1,3,1218.58
1,4,962.44
1,5,929.452
1,6,730.72
1,7,452.601
1,8,1368.58
1,9,663.018
1,10,590.057
1,11,1373.24
1,12,1171.24
1,13,297.774
1,14,1135.33
1,15,408.077
1,16,1738.18
1,17,1889.12
1,18,1092.46
1,19,1872.3
1,20,176.208
1,21,1117.65
1,22,144.254
1,23,946.721
1,24,213.5
1,25,281.056
1,26,1320.19
1,27,500.118
1,28,236.532
1,29,487.7
1,30,773.989
1,31,1035.26
1,32,446.042
1,33,1416.77
1,34,1069.28
1,35,1117.53
1,36,856.347
1,37,1756.92
1,38,1282.44
1,39,359.174
1,40,1550.23
1,41,2134.95
1,42,1106.73
1,43,1968.77
1,44,756.209
1,45,1255.53
1,46,945.563
1,47,950.873
2,1,821.286
2,2,48.7207
2,3,1038.53
2,4,820.236
2,5,792.121
2,6,622.753
2,7,385.728
2,8,1166.37
2,9,565.055
2,10,502.874
2,11,1170.34
2,12,998.185
2,13,253.777
2,14,967.583
2,15,347.782
2,16,1481.36
2,17,1609.99
2,18,931.046
2,19,1595.66
2,20,150.173
2,21,952.508
2,22,122.94
2,23,806.839
2,24,181.955
2,25,239.529
2,26,1125.13
2,27,426.223
2,28,201.583
2,29,415.64
2,30,659.629
2,31,882.3
2,32,380.137
2,33,1207.44
2,34,911.293
2,35,952.411
2,36,729.818
2,37,1497.33
2,38,1092.95
2,39,306.104
2,40,1321.18
2,41,1819.5
2,42,943.21
2,43,1677.88
2,44,644.476
2,45,1070.02
2,46,805.852
2,47,810.379
3,1,699.957
3,2,41.5232
3,3,885.107
3,4,699.062
3,5,675.101
3,6,530.753
3,7,328.744
3,8,994.061
3,9,481.579
3,10,428.584
3,11,997.442
3,12,850.722
3,13,216.286
3,14,824.641
3,15,296.404
3,16,1262.52
3,17,1372.15
3,18,793.502
3,19,1359.93
3,20,127.987
3,21,811.793
3,22,104.778
3,23,687.644
3,24,155.074
3,25,204.143
3,26,958.911
3,27,363.257
3,28,171.803
3,29,354.237
3,30,562.182
3,31,751.957
3,32,323.979
3,33,1029.06
3,34,776.666
3,35,811.711
3,36,622.001
3,37,1276.12
3,38,931.49
3,39,260.883
3,40,1126
3,41,1550.71
3,42,803.868
3,43,1430
3,44,549.267
3,45,911.941
3,46,686.803
3,47,690.663
4,1,596.571
4,2,35.3901
4,3,754.373
4,4,595.808
4,5,575.386
4,6,452.359
4,7,280.187
4,8,847.234
4,9,410.448
4,10,365.28
4,11,850.116
4,12,725.067
4,13,184.34
4,14,702.838
4,15,252.624
4,16,1076.04
4,17,1169.48
4,18,676.299
4,19,1159.06
4,20,109.083
4,21,691.888
4,22,89.3019
4,23,586.076
4,24,132.169
4,25,173.99
4,26,817.276
4,27,309.603
4,28,146.427
4,29,301.915
4,30,479.145
4,31,640.89
4,32,276.126
4,33,877.065
4,34,661.95
4,35,691.818
4,36,530.129
4,37,1087.64
4,38,793.906
4,39,222.35
4,40,959.685
4,41,1321.66
4,42,685.134
4,43,1218.78
4,44,468.138
4,45,777.244
4,46,585.359
4,47,588.652
5,1,508.474
5,2,30.164
5,3,642.973
5,4,507.824
5,5,490.418
5,6,385.558
5,7,238.811
5,8,722.122
5,9,349.836
5,10,311.339
5,11,724.578
5,12,617.995
5,13,157.118
5,14,599.049
5,15,215.319
5,16,917.136
5,17,996.777
5,18,576.428
5,19,987.904
5,20,92.9747
5,21,589.716
5,22,76.1145
5,23,499.529
5,24,112.652
5,25,148.297
5,26,696.587
5,27,263.883
5,28,124.804
5,29,257.33
5,30,408.389
5,31,546.248
5,32,235.35
5,33,747.547
5,34,564.198
5,35,589.656
5,36,451.844
5,37,927.022
5,38,676.668
5,39,189.515
5,40,817.967
5,41,1126.49
5,42,583.959
5,43,1038.8
5,44,399.007
5,45,662.467
5,46,498.918
5,47,501.726
6,1,433.406
6,2,25.7108
6,3,548.047
6,4,432.851
6,5,418.015
6,6,328.637
6,7,203.554
6,8,615.512
6,9,298.188
6,10,265.374
6,11,617.605
6,12,526.757
6,13,133.922
6,14,510.609
6,15,183.53
6,16,781.735
6,17,849.618
6,18,491.328
6,19,842.055
6,20,79.2484
6,21,502.654
