Time,Nodes,Symptomatic
0,1,0.16
0,2,0.32
0,3,0.16
0,4,0.32
0,5,0.32
0,6,0
0,7,0
0,8,0.16
0,9,0
0,10,0
0,11,0.32
0,12,0
0,13,0.32
0,14,0
0,15,0.32
0,16,0.16
0,17,0
0,18,0.16
0,19,0
0,20,0
0,21,0
0,22,0.16
0,23,0
0,24,0.32
0,25,0.32
0,26,0
0,27,0
0,28,0.32
0,29,0.32
0,30,0.16
0,31,0.16
0,32,0.16
0,33,0.32
0,34,0.32
0,35,0.32
0,36,0.32
0,37,0.16
0,38,0
0,39,0.16
0,40,0
0,41,0
0,42,0.32
0,43,0.16
0,44,0.32
0,45,0.32
0,46,0.32
0,47,7.52
1,1,323.018
1,2,19.1025
1,3,406.431
1,4,321.66
1,5,310.946
1,6,244.593
1,7,151.183
1,8,459.554
1,9,221.632
1,10,197.871
1,11,461.544
1,12,391.134
1,13,99.7082
1,14,379.714
1,15,136.352
1,16,581.222
1,17,632.214
1,18,365.483
1,19,626.364
1,20,58.7896
1,21,374.388
1,22,48.036
1,23,316.749
1,24,71.2296
1,25,94.4053
1,26,444.129
1,27,167.722
1,28,79.0412
1,29,162.955
1,30,258.861
1,31,345.932
1,32,149.113
1,33,475.395
1,34,357.319
1,35,373.846
1,36,286.538
1,37,587.66
1,38,429.284
1,39,119.991
1,40,518.164
1,41,713.354
1,42,370.179
1,43,658.486
1,44,252.937
1,45,420.221
1,46,316.172
1,47,308.268
2,1,275.377
2,2,16.2852
2,3,346.488
2,4,274.219
2,5,265.086
2,6,208.518
2,7,128.886
2,8,391.775
2,9,188.944
2,10,168.687
2,11,393.472
2,12,333.447
2,13,85.0025
2,14,323.711
2,15,116.242
2,16,495.5
2,17,538.971
2,18,311.579
2,19,533.983
2,20,50.119
2,21,319.171
2,22,40.9514
2,23,270.033
2,24,60.7242
2,25,80.4817
2,26,378.626
2,27,142.985
2,28,67.3836
2,29,138.922
2,30,220.682
2,31,294.912
2,32,127.121
2,33,405.28
2,34,304.619
2,35,318.709
2,36,244.277
2,37,500.988
2,38,365.971
2,39,102.294
2,40,441.742
2,41,608.143
2,42,315.582
2,43,561.368
2,44,215.632
2,45,358.244
2,46,269.541
2,47,262.808
3,1,234.781
3,2,13.8845
3,3,295.409
