Time_step,total_new_infections,Exposed,Infected,Recovered
0,13.280000,83.000000,77.000000,62.000000
1,15047.564538,94047.278363,15267.566045,931.789921
2,12828.254544,80176.590897,26827.868849,3278.947950
3,10937.150278,68357.189238,35244.420996,6718.548657
4,9325.715364,58285.721025,41131.576765,10939.598538
5,7952.590752,49703.692200,44997.265119,15692.666948
6,6782.533614,42390.835088,47260.350675,20779.159321
7,5785.512965,36159.456028,48265.258398,26042.345767
8,4935.938955,30849.618470,48294.284155,31359.867863
9,4212.006117,26325.038231,47577.949069,36637.489235
10,3595.133714,22469.585713,46303.701110,41803.891894
11,3069.488855,19184.305346,44623.220963,46806.350973
12,2621.580127,16384.875795,42658.549950,51607.146644
13,2239.911322,13999.445762,40507.224347,56180.594030
14,1914.686374,11966.789837,38246.572146,60510.590605
15,1637.557930,10234.737063,35937.304281,64588.596408
16,1401.413105,8758.831905,33626.511959,68411.975758
17,1200.190918,7501.193239,31350.164471,71982.640461
18,1028.726732,6429.542075,29135.187207,75305.944065
19,882.619692,5516.373078,27001.187229,78389.784778
20,758.119776,4738.248600,24961.883207,81243.881497
21,652.031540,4075.197124,23026.287663,83879.193126
22,561.632106,3510.200661,21199.681923,86307.456218
23,484.601274,3028.757965,19484.417824,88540.820063
24,418.961974,2618.512336,17880.574810,90591.561788
25,363.029514,2268.934465,16386.496532,92471.866906
26,315.368350,1971.052190,14999.227191,94193.663224
27,274.755233,1717.220209,13714.864634,95768.498027
28,240.147817,1500.923854,12528.844465,97207.450196
29,210.657902,1316.611885,11436.167116,98521.070346
30,185.528642,1159.554010,10431.577885,99719.343262
