Time_step,total_new_infections,Exposed,Infected,Recovered
0,13.920000,87.000000,91.000000,82.000000
1,15065.254493,94157.840583,15150.597614,937.872114
2,12843.333389,80270.833682,26738.548159,3273.736030
3,10950.002157,68437.513483,35177.584564,6704.791524
4,9336.668426,58354.177665,41082.935250,10919.526489
5,7961.925029,49762.031432,44963.263079,15668.079924
6,6790.487953,42440.549704,47238.047949,20751.500942
7,5792.291025,36201.818905,48252.229961,26012.765363
8,4941.714364,30885.714774,48288.535662,31329.272368
9,4216.926878,26355.792989,47577.845726,36606.586550
10,3599.325980,22495.787377,46307.907807,41773.227053
11,3073.060146,19206.625915,44630.651950,46776.336266
12,2624.622078,16403.887986,42668.326566,51578.086664
13,2242.502024,14015.637652,40518.639561,56152.706440
14,1916.892377,11980.577355,38259.060836,60484.023344
15,1639.435942,10246.474639,35950.418360,64563.441891
16,1403.011448,8768.821549,33639.899583,68388.282576
17,1201.550764,7509.692278,31363.552675,71960.422985
18,1029.883161,6436.769754,29148.367444,75285.190302
19,883.602588,5522.516177,27014.003331,78370.462777
20,758.954597,4743.466231,24974.221387,81225.944546
21,652.739970,4079.624812,23038.068230,83862.583940
22,562.232612,3513.953826,21210.852433,86292.110305
23,485.109582,3031.934888,19494.947428,88526.668401
24,419.391470,2621.196685,17890.449607,90578.532933
25,363.391592,2271.197452,16395.715760,92459.888641
26,315.672704,1972.954402,15007.800116,94182.663829
27,275.010108,1718.813174,13722.808019,95758.407237
28,240.360220,1502.251374,12536.180523,97198.199911
29,210.833787,1317.711169,11442.921859,98512.595130
30,185.673063,1160.456642,10437.779807,99711.580694
