Time,Nodes,Symptomatic
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0.16
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0.16
0,15,0
0,16,0
0,17,0.16
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0.16
0,23,0.16
0,24,0.16
0,25,0
0,26,0.16
0,27,0
0,28,0.16
0,29,0
0,30,0.16
0,31,0
0,32,0
0,33,0
0,34,0.16
0,35,0
0,36,0.16
0,37,0
0,38,0
0,39,0.16
0,40,0.16
0,41,0
0,42,0.16
0,43,0.16
0,44,0.16
0,45,0.16
0,46,0.16
0,47,11.04
1,1,963.711
1,2,57.3004
1,3,1217.54
1,4,962.272
1,5,929.169
1,6,730.337
1,7,452.324
1,8,1368.51
1,9,662.647
1,10,589.863
1,11,1373.11
1,12,1170.76
1,13,297.668
1,14,1135.17
1,15,407.801
1,16,1737.38
1,17,1888.38
1,18,1092.34
1,19,1871.82
1,20,176.15
1,21,1117.15
1,22,144.357
1,23,946.499
1,24,213.41
1,25,280.865
1,26,1319.63
1,27,499.99
1,28,236.399
1,29,487.458
1,30,773.65
1,31,1034.79
1,32,446.076
1,33,1416.05
1,34,1068.74
1,35,1117.3
1,36,856.057
1,37,1755.87
1,38,1282.15
1,39,359.125
1,40,1549.85
1,41,2133.98
1,42,1106.09
1,43,1968
1,44,755.843
1,45,1254.9
1,46,945.407
1,47,948.523
2,1,821.319
2,2,48.834
2,3,1037.65
2,4,820.092
2,5,791.88
2,6,622.427
2,7,385.491
2,8,1166.31
2,9,564.738
2,10,502.709
2,11,1170.23
2,12,997.775
2,13,253.686
2,14,967.448
2,15,347.547
2,16,1480.67
2,17,1609.37
2,18,930.942
2,19,1595.25
2,20,150.123
2,21,952.086
2,22,123.028
2,23,806.65
2,24,181.878
2,25,239.366
2,26,1124.65
2,27,426.114
2,28,201.47
2,29,415.434
2,30,659.34
2,31,881.9
2,32,380.167
2,33,1206.82
2,34,910.833
2,35,952.211
2,36,729.571
2,37,1496.43
2,38,1092.71
2,39,306.063
2,40,1320.86
2,41,1818.67
2,42,942.661
2,43,1677.22
2,44,644.164
2,45,1069.48
2,46,805.72
2,47,808.377
3,1,699.985
3,2,41.6197
3,3,884.354
3,4,698.939
3,5,674.895
3,6,530.475
3,7,328.542
3,8,994.008
3,9,481.309
3,10,428.443
3,11,997.352
3,12,850.373
3,13,216.209
3,14,824.526
3,15,296.203
3,16,1261.93
3,17,1371.61
3,18,793.413
3,19,1359.59
3,20,127.945
3,21,811.433
3,22,104.853
3,23,687.483
3,24,155.009
3,25,204.005
3,26,958.507
3,27,363.164
3,28,171.707
3,29,354.061
3,30,561.935
3,31,751.616
3,32,324.004
3,33,1028.54
3,34,776.275
3,35,811.54
3,36,621.791
3,37,1275.36
3,38,931.284
3,39,260.848
3,40,1125.72
3,41,1550
3,42,803.401
3,43,1429.44
3,44,549.001
3,45,911.485
3,46,686.69
3,47,688.957
4,1,596.595
4,2,35.4724
4,3,753.731
4,4,595.703
4,5,575.211
4,6,452.122
4,7,280.015
4,8,847.19
4,9,410.218
4,10,365.16
4,11,850.04
4,12,724.769
4,13,184.274
4,14,702.74
4,15,252.453
4,16,1075.54
4,17,1169.02
4,18,676.223
4,19,1158.77
4,20,109.047
4,21,691.581
4,22,89.3655
4,23,585.939
4,24,132.114
4,25,173.872
4,26,816.932
4,27,309.523
4,28,146.345
4,29,301.765
4,30,478.935
4,31,640.599
4,32,276.148
4,33,876.62
4,34,661.616
4,35,691.673
