Time,Nodes,Symptomatic
7,17,242.789
7,18,140.312
7,19,240.529
7,20,22.6156
7,21,143.755
7,22,18.5522
7,23,121.629
7,24,27.3608
7,25,36.2974
7,26,170.214
7,27,64.3045
7,28,30.4018
7,29,62.571
7,30,99.3555
7,31,132.839
7,32,57.2663
7,33,182.371
7,34,137.218
7,35,143.59
7,36,109.995
7,37,225.632
7,38,164.867
7,39,46.0759
7,40,198.973
7,41,273.955
7,42,142.084
7,43,252.829
7,44,97.1404
7,45,161.3
7,46,121.462
7,47,117.251
8,1,105.781
8,2,6.25398
8,3,133.174
8,4,105.46
8,5,101.918
8,6,80.0318
8,7,49.5747
8,8,150.43
8,9,72.6099
8,10,64.8213
8,11,151.027
8,12,128.249
8,13,32.5991
8,14,124.389
8,15,44.7171
8,16,190.404
8,17,207.136
8,18,119.707
8,19,205.208
8,20,19.2946
8,21,122.644
8,22,15.8278
8,23,103.768
8,24,23.343
8,25,30.9671
8,26,145.218
8,27,54.8615
8,28,25.9373
8,29,53.3827
8,30,84.7655
8,31,113.332
8,32,48.8569
8,33,155.59
8,34,117.068
8,35,122.504
8,36,93.8429
8,37,192.498
8,38,140.657
8,39,39.3098
8,40,169.754
8,41,233.725
8,42,121.219
8,43,215.702
8,44,82.8756
8,45,137.613
8,46,103.625
8,47,100.04
9,1,90.2664
9,2,5.33676
9,3,113.641
9,4,89.9924
9,5,86.9695
9,6,68.2938
9,7,42.3037
9,8,128.367
9,9,61.9604
9,10,55.3139
9,11,128.875
9,12,109.439
9,13,27.8179
9,14,106.146
9,15,38.1585
9,16,162.477
9,17,176.756
9,18,102.15
9,19,175.111
9,20,16.4647
9,21,104.656
9,22,13.5064
9,23,88.5485
9,24,19.9194
9,25,26.425
9,26,123.918
9,27,46.815
9,28,22.1331
9,29,45.5532
9,30,72.3331
9,31,96.7101
9,32,41.6912
9,33,132.769
9,34,99.8981
9,35,104.537
9,36,80.0791
9,37,164.265
9,38,120.027
9,39,33.5444
9,40,144.857
9,41,199.445
9,42,103.44
9,43,184.065
9,44,70.7203
9,45,117.43
9,46,88.4269
9,47,85.3744
10,1,77.0459
10,2,4.55518
10,3,96.9978
10,4,76.8123
10,5,74.2321
10,6,58.2916
10,7,36.108
10,8,109.566
10,9,52.8858
10,10,47.2125
10,11,110
10,12,93.4107
10,13,23.7438
10,14,90.5998
10,15,32.5699
10,16,138.681
10,17,150.868
10,18,87.1896
10,19,149.464
10,20,14.0533
10,21,89.3282
10,22,11.5283
10,23,75.5798
10,24,17.0021
10,25,22.5546
10,26,105.768
10,27,39.9584
10,28,18.8915
10,29,38.8815
10,30,61.7393
10,31,82.5462
10,32,35.5853
10,33,113.324
10,34,85.2672
10,35,89.2263
10,36,68.3507
10,37,140.206
10,38,102.448
10,39,28.6316
10,40,123.642
10,41,170.235
10,42,88.2906
10,43,157.107
10,44,60.3626
10,45,100.231
10,46,75.476
10,47,72.8777
11,1,65.7807
11,2,3.88919
11,3,82.8155
11,4,65.5814
11,5,63.3783
11,6,49.7686
11,7,30.8286
11,8,93.5454
11,9,45.1532
11,10,40.3092
11,11,93.9157
