Time,Nodes,Symptomatic
0,1,0.16
0,2,0
0,3,0
0,4,0.16
0,5,0
0,6,0.16
0,7,0.16
0,8,0.16
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0.16
0,14,0.16
0,15,0.16
0,16,0.16
0,17,0.16
0,18,0.16
0,19,0.16
0,20,0.16
0,21,0
0,22,0.16
0,23,0.16
0,24,0
0,25,0
0,26,0.16
0,27,0
0,28,0
0,29,0.16
0,30,0.16
0,31,0
0,32,0
0,33,0
0,34,0.16
0,35,0
0,36,0.16
0,37,0
0,38,0.16
0,39,0.16
0,40,0.16
0,41,0.16
0,42,0.16
0,43,0.16
0,44,0
0,45,0.16
0,46,0
0,47,4.64
1,1,322.353
1,2,18.9096
1,3,405.907
1,4,321.219
1,5,310.379
1,6,243.815
1,7,151.175
1,8,458.125
1,9,221.083
1,10,197.281
1,11,459.722
1,12,390.627
1,13,99.5583
1,14,379.027
1,15,136.241
1,16,580.081
1,17,631.034
1,18,364.868
1,19,625.072
1,20,58.9039
1,21,373.579
1,22,47.9498
1,23,316.143
1,24,71.2652
1,25,94.1314
1,26,442.073
1,27,167.084
1,28,78.746
1,29,162.77
1,30,258.396
1,31,345.424
1,32,148.996
1,33,473.936
1,34,356.678
1,35,373.067
1,36,285.863
1,37,586.305
1,38,428.495
1,39,119.762
1,40,517.115
1,41,712.118
1,42,369.436
1,43,657.135
1,44,252.442
1,45,419.18
1,46,315.711
1,47,311.133
2,1,274.81
2,2,16.1208
2,3,346.041
2,4,273.844
2,5,264.602
2,6,207.856
2,7,128.879
2,8,390.558
2,9,188.476
2,10,168.184
2,11,391.919
2,12,333.015
2,13,84.8747
2,14,323.126
2,15,116.147
2,16,494.526
2,17,537.965
2,18,311.055
2,19,532.882
2,20,50.2163
2,21,318.481
2,22,40.878
2,23,269.516
2,24,60.7545
2,25,80.2482
2,26,376.873
2,27,142.441
2,28,67.1321
2,29,138.763
2,30,220.286
2,31,294.478
2,32,127.021
2,33,404.036
2,34,304.073
2,35,318.045
2,36,243.702
2,37,499.833
2,38,365.297
2,39,102.099
2,40,440.847
2,41,607.09
2,42,314.949
2,43,560.216
2,44,215.211
2,45,357.356
2,46,269.147
2,47,265.249
3,1,234.298
3,2,13.7444
3,3,295.028
3,4,233.474
3,5,225.595
3,6,177.214
3,7,109.88
3,8,332.982
3,9,160.692
3,10,143.391
3,11,334.143
3,12,283.922
3,13,72.3626
3,14,275.492
3,15,99.0247
3,16,421.624
3,17,458.659
3,18,265.2
3,19,454.326
3,20,42.8135
3,21,271.531
3,22,34.8519
3,23,229.785
3,24,51.7983
3,25,68.4182
3,26,321.315
3,27,121.443
3,28,57.2357
3,29,118.307
3,30,187.812
3,31,251.067
3,32,108.296
3,33,344.474
3,34,259.247
3,35,271.159
3,36,207.776
3,37,426.148
3,38,311.446
3,39,87.0479
3,40,375.859
3,41,517.595
3,42,268.52
3,43,477.63
3,44,183.485
3,45,304.676
3,46,229.47
3,47,226.151
4,1,199.777
4,2,11.7195
4,3,251.56
4,4,199.075
4,5,192.357
4,6,151.104
4,7,93.6903
4,8,283.922
4,9,137.016
4,10,122.264
4,11,284.911
4,12,242.09
4,13,61.7009
4,14,234.902
4,15,84.4347
4,16,359.504
4,17,391.082
4,18,226.127
4,19,387.387
4,20,36.5055
4,21,231.524
4,22,29.7171
4,23,195.929
4,24,44.1665
4,25,58.3376
4,26,273.973
4,27,103.55
4,28,48.8029
4,29,100.876
4,30,160.14
4,31,214.076
4,32,92.3401
4,33,293.72
4,34,221.051
4,35,231.208
4,36,177.163
4,37,363.361
4,38,265.559
4,39,74.2226
4,40,320.481
