Time_step,total_new_infections,Exposed,Infected,Recovered
0,8.960000,56.000000,71.000000,57.000000
1,15060.313183,94126.957396,15200.910571,918.603552
2,12839.120337,80244.502103,26779.299612,3259.460316
3,10946.410664,68415.066647,35210.407691,6694.549175
4,9333.607164,58335.044777,41109.199595,10912.522798
5,7959.315973,49745.724829,44984.115568,15663.658269
6,6788.264501,42426.653130,47254.447762,20749.120266
7,5790.396358,36189.977240,48264.978100,26011.981189
8,4940.100024,30875.625149,48298.299997,31329.720808
9,4215.551545,26347.197157,47585.182178,36607.970861
10,3598.154427,22488.465168,46313.278258,41775.306330
11,3072.062343,19200.389646,44634.439366,46778.915952
12,2623.772429,16398.577681,42670.847767,51581.010587
13,2241.778714,14011.116966,40520.155985,56155.850150
14,1916.276814,11976.730087,38259.787617,60487.288528
15,1638.912283,10243.201770,35950.531971,64566.751715
16,1402.566193,8766.038705,33639.544263,68391.577793
17,1201.172411,7507.327571,31362.845840,71963.658695
18,1029.561911,6434.761942,29147.404226,75288.333259
19,883.330095,5520.813095,27012.860388,78373.489154
20,758.723752,4742.023451,24972.960099,81228.838079
21,652.544721,4078.404504,23036.737372,83865.334405
22,562.067806,3512.923786,21209.490412,86294.712252
23,484.970834,3031.067710,19493.584148,88529.120123
24,419.275049,2620.469053,17889.108028,90580.835617
25,363.294327,2270.589541,16394.413194,92462.045679
26,315.591898,1972.449363,15006.549303,94184.680255
27,274.943472,1718.396701,13721.618019,95760.289278
28,240.305812,1501.911328,12535.057456,97199.954621
29,210.789962,1317.437264,11441.869516,98514.230104
30,185.638427,1160.240172,10436.800148,99713.103839
