Time_step,total_new_infections,Exposed,Infected,Recovered
0,12.320000,77.000000,99.000000,99.000000
1,15076.414385,94227.589908,15072.684866,945.823395
2,12852.846183,80330.288646,26678.506866,3274.132798
3,10958.110106,68488.188165,35132.112618,6699.412720
4,9343.578505,58397.365657,41049.286601,10909.819229
5,7967.813875,49798.836721,44939.158812,15655.215653
6,6795.506232,42471.913950,47221.601034,20736.422571
7,5796.567211,36228.545070,48241.881687,25996.226790
8,4945.357987,30908.487420,48283.002025,31311.871568
9,4220.031307,26375.195666,47576.072237,36588.793241
10,3601.970798,22512.317485,46309.031447,41755.405794
11,3075.313182,19220.707390,44633.969174,46758.765711
12,2626.541141,16415.882133,42673.266412,51560.975585
13,2244.136382,14025.852386,40524.741073,56136.207038
14,1918.284011,11989.275071,38265.954141,60468.242276
15,1640.620630,10253.878938,35957.808811,64548.449396
16,1404.019674,8775.122960,33647.554492,68374.119998
17,1202.408503,7515.053143,31371.290238,71947.108963
18,1030.612542,6441.328386,29156.047495,75272.725844
19,884.222466,5526.390412,27021.519645,78358.835403
20,759.481031,4746.756445,24981.495277,81215.131659
21,653.186640,4082.416502,23045.043239,83852.555558
22,562.611169,3516.319804,21217.489937,86282.831252
23,485.429945,3033.937154,19501.223003,88518.100065
24,419.662083,2622.888018,17896.350039,90570.634659
25,363.619643,2272.622772,16401.236585,92452.618824
26,315.864308,1974.151926,15012.943611,94175.980761
27,275.170465,1719.815405,13727.581562,95752.269757
28,240.493750,1503.085937,12540.595261,97192.567888
29,210.944245,1318.401532,11446.991635,98507.429819
30,185.763635,1161.022720,10441.520295,99706.844980
