Time,Nodes,Symptomatic
0,1,0
0,2,0.16
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0.16
0,8,0.16
0,9,0.16
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0.16
0,15,0.16
0,16,0.16
0,17,0.16
0,18,0
0,19,0.16
0,20,0.16
0,21,0.16
0,22,0.16
0,23,0
0,24,0
0,25,0
0,26,0.16
0,27,0.16
0,28,0.16
0,29,0
0,30,0
0,31,0
0,32,0.16
0,33,0
0,34,0.16
0,35,0.16
0,36,0.16
0,37,0
0,38,0.16
0,39,0
0,40,0
0,41,0.16
0,42,0.16
0,43,0.16
0,44,0
0,45,0.16
0,46,0.16
0,47,6.08
1,1,321.191
1,2,19.1087
1,3,404.788
1,4,320.792
1,5,309.787
1,6,243.308
1,7,150.679
1,8,456.161
1,9,220.557
1,10,196.526
1,11,457.698
1,12,389.667
1,13,99.1896
1,14,378.325
1,15,135.649
1,16,578.484
1,17,629.077
1,18,363.946
1,19,623.596
1,20,58.5636
1,21,372.367
1,22,47.8395
1,23,315.369
1,24,70.9983
1,25,93.6004
1,26,439.755
1,27,166.307
1,28,78.6782
1,29,162.356
1,30,257.665
1,31,344.734
1,32,148.671
1,33,472.025
1,34,355.721
1,35,372.342
1,36,285.135
1,37,584.746
1,38,427.446
1,39,119.47
1,40,516.259
1,41,710.812
1,42,368.349
1,43,655.27
1,44,251.633
1,45,417.847
1,46,314.807
1,47,310.267
2,1,273.82
2,2,16.2904
2,3,345.088
2,4,273.479
2,5,264.098
2,6,207.423
2,7,128.456
2,8,388.883
2,9,188.028
2,10,167.541
2,11,390.194
2,12,332.197
2,13,84.5605
2,14,322.528
2,15,115.643
2,16,493.165
2,17,536.296
2,18,310.269
2,19,531.624
2,20,49.9263
2,21,317.448
2,22,40.784
2,23,268.856
2,24,60.5271
2,25,79.7956
2,26,374.897
2,27,141.779
2,28,67.0743
2,29,138.411
2,30,219.663
2,31,293.891
2,32,126.744
2,33,402.408
2,34,303.257
2,35,317.426
2,36,243.081
2,37,498.504
2,38,364.404
2,39,101.85
2,40,440.118
2,41,605.977
2,42,314.023
2,43,558.626
2,44,214.52
2,45,356.221
2,46,268.377
2,47,264.511
3,1,233.454
3,2,13.8889
3,3,294.216
3,4,233.164
3,5,225.165
3,6,176.846
3,7,109.519
3,8,331.555
3,9,160.309
3,10,142.843
3,11,332.673
3,12,283.225
3,13,72.0948
3,14,274.982
3,15,98.5951
3,16,420.464
3,17,457.237
3,18,264.53
3,19,453.254
3,20,42.5664
3,21,270.651
3,22,34.7718
3,23,229.222
3,24,51.6044
3,25,68.0324
3,26,319.631
3,27,120.878
3,28,57.1865
3,29,118.007
3,30,187.281
3,31,250.566
3,32,108.06
3,33,343.086
3,34,258.552
3,35,270.632
3,36,207.247
3,37,425.016
3,38,310.684
3,39,86.8352
3,40,375.237
3,41,516.645
3,42,267.73
3,43,476.275
3,44,182.896
3,45,303.708
3,46,228.814
3,47,225.522
4,1,199.058
4,2,11.8426
4,3,250.868
4,4,198.81
